Date,Price,Open,High,Low,Vol.,Change %
02/01/2015,15.768,15.73,16.06,15.51,15730,1.08%
05/01/2015,16.213,15.795,16.26,15.63,15795,2.82%
06/01/2015,16.637,16.16,16.74,16.115,16160,2.62%
07/01/2015,16.544,16.575,16.66,16.3,16575,-0.56%
08/01/2015,16.385,16.545,16.665,16.305,16545,-0.96%
09/01/2015,16.419,16.375,16.625,16.21,16375,0.21%
12/01/2015,16.564,16.495,16.69,16.43,16495,0.88%
13/01/2015,17.156,16.59,17.215,16.57,16590,3.57%
14/01/2015,16.988,17.07,17.095,16.56,17070,-0.98%
15/01/2015,17.102,16.84,17.24,16.71,16840,0.67%
16/01/2015,17.75,16.965,17.865,16.89,16965,3.79%
19/01/2015,17.956,17.84,18.045,17.63,17840,1.16%
20/01/2015,17.956,17.84,18.045,17.63,17840,0.00%
21/01/2015,18.193,18.01,18.505,17.915,18010,1.32%
22/01/2015,18.36,18.16,18.49,17.89,18160,0.92%
23/01/2015,18.3,18.335,18.415,18.12,18335,-0.33%
26/01/2015,17.983,18.3,18.49,17.865,18300,-1.73%
27/01/2015,18.084,17.92,18.215,17.405,17920,0.56%
28/01/2015,18.088,18.045,18.175,17.945,18045,0.02%
29/01/2015,16.773,18,18.05,16.74,18000,-7.27%
30/01/2015,17.208,16.99,17.32,16.815,16990,2.59%
02/02/2015,17.251,17.155,17.34,16.995,17155,0.25%
03/02/2015,17.321,17.24,17.75,17.07,17240,0.41%
04/02/2015,17.395,17.33,17.67,17.17,17330,0.43%
05/02/2015,17.196,17.37,17.5,16.92,17370,-1.14%
06/02/2015,16.694,17.28,17.37,16.545,17280,-2.92%
09/02/2015,17.07,16.785,17.145,16.685,16785,2.25%
10/02/2015,16.873,16.965,17.095,16.715,16965,-1.15%
11/02/2015,16.761,16.93,17.075,16.71,16930,-0.66%
12/02/2015,16.794,16.795,17.04,16.605,16795,0.20%
13/02/2015,17.294,16.84,17.43,16.835,16840,2.98%
16/02/2015,16.378,17.325,17.4,16.26,17325,-5.30%
17/02/2015,16.402,17.4,17.4,16.33,17400,0.15%
18/02/2015,16.265,16.48,16.575,16.23,16480,-0.84%
19/02/2015,16.381,16.445,16.77,16.32,16445,0.71%
20/02/2015,16.273,16.345,16.555,16.16,16345,-0.66%
23/02/2015,16.254,16.255,16.59,16.065,16255,-0.12%
24/02/2015,16.188,16.3,16.455,16.04,16300,-0.41%
25/02/2015,16.43,16.285,16.7,16.28,16285,1.49%
26/02/2015,16.624,16.535,16.905,16.52,16535,1.18%
27/02/2015,16.558,16.565,16.7,16.425,16565,-0.40%
02/03/2015,16.451,16.575,16.79,16.35,16575,-0.65%
03/03/2015,16.296,16.405,16.58,16.07,16405,-0.94%
04/03/2015,16.158,16.26,16.36,16.055,16260,-0.85%
05/03/2015,16.158,16.22,16.355,16.14,16220,0.00%
06/03/2015,15.807,16.185,16.235,15.745,16185,-2.17%
09/03/2015,15.776,15.93,15.96,15.705,15930,-0.20%
10/03/2015,15.633,15.72,15.825,15.58,15720,-0.91%
11/03/2015,15.365,15.625,15.73,15.26,15625,-1.71%
12/03/2015,15.516,15.47,15.685,15.385,15470,0.98%
13/03/2015,15.494,15.565,15.66,15.455,15565,-0.14%
16/03/2015,15.617,15.63,15.755,15.49,15630,0.79%
17/03/2015,15.578,15.625,15.72,15.36,15625,-0.25%
18/03/2015,15.541,15.53,16.095,15.43,15530,-0.24%
19/03/2015,16.114,15.93,16.205,15.795,15930,3.69%
20/03/2015,16.883,16.125,16.89,16.08,16125,4.77%
23/03/2015,16.891,16.755,17.09,16.61,16755,0.05%
24/03/2015,16.983,16.995,17.04,16.805,16995,0.54%
25/03/2015,17,16.935,17.14,16.84,16935,0.10%
26/03/2015,17.14,16.97,17.405,16.91,16970,0.82%
27/03/2015,17.069,17.085,17.195,16.855,17085,-0.41%
30/03/2015,16.674,16.99,16.99,16.625,16990,-2.31%
31/03/2015,16.598,16.705,16.82,16.435,16705,-0.46%
01/04/2015,17.059,16.62,17.075,16.5,16620,2.78%
02/04/2015,16.701,16.935,17,16.57,16935,-2.10%
03/04/2015,16.72,16.72,16.72,16.72,16720,0.11%
06/04/2015,17.11,16.995,17.31,16.935,16995,2.33%
07/04/2015,16.84,16.96,16.975,16.73,16960,-1.58%
08/04/2015,16.454,16.845,16.905,16.37,16845,-2.29%
09/04/2015,16.176,16.5,16.51,16.105,16500,-1.69%
